timestamp,sensor,data
1751517489.2337468,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.25345,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.2739904,attitude,"(19.85, -2.32, 1.2)"
1751517489.2957258,position,"(0.60217, -0.06733, 0.0)"
1751517489.3140197,imu,"(0.00202, 0.00855, -1.0136, 0.00522, -0.0016, 0.7631)"
1751517489.3341,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.3544703,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.413924,imu,"(0.00629, -0.00948, -1.00161, -0.0034, -0.00012, 0.81173)"
1751517489.4329576,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.4554446,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.473444,attitude,"(28.74, -2.54, 0.74)"
1751517489.4944983,position,"(0.6016, -0.06882, 0.0)"
1751517489.5129023,imu,"(0.01542, -0.00801, -1.01648, 0.00403, -0.00089, 0.7744)"
1751517489.5332625,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.555072,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.6139376,imu,"(-0.00867, 0.02761, -1.0133, 0.01869, 0.01311, 0.76455)"
1751517489.6336827,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.6529665,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.6760712,attitude,"(37.54, -2.7, 0.35)"
1751517489.6933217,position,"(0.60318, -0.06761, 0.0)"
1751517489.714699,imu,"(-0.01363, -0.02654, -1.01759, -0.01202, 0.00754, 0.8379)"
1751517489.734043,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.7535694,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.8139617,imu,"(0.00069, -0.01362, -1.00781, 0.01381, -0.00151, 0.81231)"
1751517489.8332765,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.8529994,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.873983,attitude,"(47.37, -2.8, -0.15)"
1751517489.8936324,position,"(0.60231, -0.06823, 0.0)"
1751517489.9129453,imu,"(-0.00591, -0.01544, -1.01232, 0.0256, 0.00602, 0.77381)"
1751517489.933051,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.9540834,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.0338132,imu,"(0.00592, 0.02565, -1.026, 0.00632, -0.01052, 0.75606)"
1751517490.0540361,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.073601,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.0940619,attitude,"(56.23, -2.78, -0.63)"
1751517490.114211,position,"(0.60341, -0.06809, 0.0)"
1751517490.1332114,imu,"(-0.01052, -0.00199, -1.01584, -0.00355, -0.01213, 0.82825)"
1751517490.1539114,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.172969,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.2343295,imu,"(-0.00852, -0.0126, -1.02203, -0.03187, -0.00107, 0.80445)"
1751517490.2529094,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.2733917,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.2946646,attitude,"(65.19, -2.72, -1.1)"
1751517490.3139808,position,"(0.60375, -0.06743, 0.0)"
